order_id,user_id,r_id,amount,date,partner_id,delivery_time,delivery_rating,restaurant_rating
1001,1,1,550,10-05-2022,1,25,5,3
1002,1,2,415,26-05-2022,1,19,5,2
1003,1,3,240,15-06-2022,5,29,4,
1004,1,3,240,29-06-2022,4,42,3,5
1005,1,3,220,10-07-2022,1,58,1,4
1006,2,1,950,10-06-2022,2,16,5,
1007,2,2,530,23-06-2022,3,60,1,5
1008,2,3,240,07-07-2022,5,33,4,5
1009,2,4,300,17-07-2022,4,41,1,
1010,2,5,650,31-07-2022,1,67,1,4
1011,3,1,450,10-05-2022,2,25,3,1
1012,3,4,180,20-05-2022,5,33,4,1
1013,3,2,230,30-05-2022,4,45,3,
1014,3,2,230,11-06-2022,2,55,1,2
1015,3,2,230,22-06-2022,3,21,5,
1016,4,4,300,15-05-2022,3,31,5,5
1017,4,4,300,30-05-2022,1,50,1,
1018,4,4,400,15-06-2022,2,40,3,5
1019,4,5,400,30-06-2022,1,70,2,4
1020,4,5,400,15-07-2022,3,26,5,3
1021,5,1,550,01-07-2022,5,22,2,
1022,5,1,550,08-07-2022,1,34,5,1
1023,5,2,645,15-07-2022,4,38,5,1
1024,5,2,645,21-07-2022,2,58,2,1
1025,5,2,645,28-07-2022,2,44,4,
